WKT,id,shear_stre
"POLYGON ((-276200.658524886704981 -885296.456969109247439,-209349.142871321877465 -876092.262784923193976,-153375.138608872046461 -889002.996471773367375,-156224.427923388197087 -902616.267641128273681,-158123.954133065621136 -912113.898689515306614,-150209.261592743016081 -919078.828124999185093,-152425.375504033348989 -927626.696068547666073,-152741.963205646257848 -945672.195060483179986,-151475.612399194622412 -955486.413810483179986,-130871.276669310871512 -1035147.197371303103864,-176084.862135489995126 -1046773.54791974904947,-242613.423607153614284 -1002205.870817372458987,-261990.674521230394021 -940198.66789232683368,-276200.658524886704981 -885296.456969109247439))",,100000
"POLYGON ((-136595.990423388167983 -877289.251512095914222,-116334.377520162321161 -880771.716229837853462,-110952.386592742957873 -883304.417842741124332,-106836.746471775200916 -894384.987399192759767,-102087.930947581655346 -901983.092237902339548,-100188.404737904231297 -913380.24949596694205,-93223.475302420338267 -919712.00352822500281,-89424.42288306550472 -929526.22227822500281,-89424.42288306550472 -950737.598286289605312,-90374.185987904216745 -958335.703124999301508,-87208.308971775171813 -969099.684979837969877,-83092.668850807429408 -982396.368447579909116,-81826.318044355808524 -990311.060987902572379,-79926.791834678384475 -974798.26360887021292,-71062.336189517081948 -977647.552923386450857,-61759.081742436857894 -1031756.178461340023205,-89533.141385946946684 -1047257.979192601516843,-130871.276669310871512 -1035147.197371303103864,-151475.612399194622412 -955486.413810483179986,-147043.384576613985701 -951687.361391128273681,-148626.323084678500891 -939023.853326612152159,-145143.858366936561652 -924144.231350805610418,-143244.332157259137603 -917812.477318547549658,-150209.261592743016081 -911797.310987902455963,-151475.612399194622412 -901349.916834676638246,-142927.744455646228744 -888053.233366934582591,-136595.990423388167983 -877289.251512095914222))",,110000
"POLYGON ((-95756.176915323580033 -855444.700100805610418,-54283.188004033174366 -853545.173891128157265,-41619.67993951702374 -863675.980342741007917,-31172.285786291206023 -873173.611391128157265,-26740.057963710569311 -887736.64566532173194,-15976.076108871842735 -913063.661794353974983,-14076.549899194418686 -931425.748487902455963,-10277.497479839570588 -937440.914818547666073,-7428.208165323419962 -926043.757560483063571,-3629.155745968571864 -921294.942036289488897,1436.247479837882565 -929209.634576612152159,2702.598286289488897 -936174.564012096030638,7451.413810483034467 -933325.274697579909116,8401.176915321761044 -941556.55493951542303,6818.238407257245854 -951054.185987902455963,13149.992439515306614 -953270.299899192759767,17203.215732426004251 -977822.830083826091141,8160.49863919019117 -988480.318086568266153,-28010.369733753148466 -997845.989361705374904,-43202.618447581568034 -988728.122479838086292,-52067.074092742870562 -977330.96522177348379,-68846.222278226763592 -959602.053931450936943,-77394.090221775157261 -958019.115423386334442,-80559.967237904202193 -949787.835181450820528,-73911.625504033218022 -954536.650705644395202,-70429.160786291278782 -945355.60735887021292,-77710.67792338806612 -927943.283770160516724,-80559.967237904202193 -914330.012600805610418,-72645.274697581597138 -909264.609374999185093,-79926.791834678384475 -904199.206149192759767,-82776.081149194520549 -889319.584173386218026,-84042.431955646141432 -876022.900705644278787,-90057.598286291307886 -869374.558971773367375,-95756.176915323580033 -855444.700100805610418))",,110000
"POLYGON ((-35604.513608871871838 -844364.130544353974983,-24700.089369264926063 -787522.078398497076705,45703.922285214037402 -788813.895126102142967,130317.917943349311827 -828537.259499959647655,172947.869954318215605 -852435.868960654246621,186956.640624999534339 -868424.795866934466176,169227.729334676929284 -869691.146673386101611,150865.642641128506511 -883621.005544353858568,151498.818044354324229 -903882.618447579676285,148966.116431451111566 -919078.828124999068677,133136.731350805901457 -933641.862399192643352,130604.029737902688794 -945672.195060483063571,115542.76412136584986 -977176.921720023732632,89706.429569263476878 -988803.272268469794653,57411.01137913542334 -1001721.439544521039352,28991.043371822801419 -1005596.889727336354554,17203.215732426004251 -977822.830083826091141,13149.992439515306614 -953270.299899192759767,13149.992439515306614 -926043.757560483063571,6185.063004031428136 -906731.907762095914222,1436.247479837882565 -888053.233366934582591,-11543.848286291176919 -880771.716229837853462,-19458.540826613781974 -858293.98941532173194,-35604.513608871871838 -844364.130544353974983))",,110000
"POLYGON ((115542.76412136584986 -977176.921720023732632,130604.029737902688794 -945672.195060483063571,153398.344254031719174 -928576.459173386218026,157197.396673386567272 -908314.846270160400309,157830.57207661238499 -888053.233366934582591,177459.009576612443198 -874756.549899192526937,190755.693044354382437 -877922.426915321615525,190755.693044354382437 -892485.461189515190199,189489.342237902747001 -904515.793850805494003,204685.551915322139394 -912747.074092741007917,211017.305947580200154 -925410.582157257245854,193921.570060483412817 -941239.967237902339548,179649.169228769722395 -951986.495531723834574,151552.155403358396143 -972655.563173405709676,115542.76412136584986 -977176.921720023732632))",,100000
"POLYGON ((238243.848286289954558 -928576.459173386218026,252806.882560483529232 -912113.898689515190199,249641.005544354498852 -932375.511592741124332,259771.811995967407711 -920978.35433467652183,276234.37247983837733 -900083.566028224886395,297762.336189515830483 -881721.479334676405415,315491.247479838493746 -851962.235383063554764,337019.211189515946899 -833600.148689515073784,364540.43836725235451 -813116.197314174263738,371645.43036908050999 -856392.057688945787959,368415.88855006772792 -924858.344252017093822,347746.820908385852817 -966842.387899183435366,321910.486356283479836 -990740.997359878150746,343225.462361767888069 -1013993.698456770274788,282510.076164327329025 -1023036.415550006087869,228253.773604912334122 -1015285.51518437534105,211460.156146045803325 -990095.088996075559407,225670.140149702114286 -967488.296262985910289,221794.68996688676998 -949887.293349366169423,224539.800513047637651 -935838.786436660448089,238243.848286289954558 -928576.459173386218026))",,100000
"POLYGON ((343225.462361767888069 -1013993.698456770274788,321910.486356283479836 -990740.997359878150746,347746.820908385852817 -966842.387899183435366,368415.88855006772792 -924858.344252017093822,393444.837647416396067 -828779.475136385997757,496790.175855826004408 -847510.817686660215259,511646.068223284906708 -893370.311516641988419,502603.351130049035419 -957315.239533095504157,509062.434768074657768 -997361.5580888541881,472891.566395131289028 -1010925.633728707907721,446409.323479226324707 -1045804.6853740462102,422510.714018531609327 -1053555.585739676840603,361795.327821090992074 -1023197.892640956561081,343225.462361767888069 -1013993.698456770274788))",,100000
"POLYGON ((474183.38312273635529 -1039991.510099822771735,495498.359128220879938 -1036116.059917007456534,495498.359128220879938 -1036116.059917007456534,514229.701678495155647 -1058076.944286294514313,501311.534402443910949 -1092310.087567830225453,474183.38312273635529 -1087788.729021212318912,459973.399119080044329 -1081975.553746989229694,454160.223844857013319 -1063890.119560517603531,474183.38312273635529 -1039991.510099822771735))",,130000
"POLYGON ((499373.809311036253348 -1120730.055575142847374,511000.159859482315369 -1131710.497759786434472,539068.076681753620505 -1174003.858784266747534,518105.151861310470849 -1180153.625044978456572,501311.534402443910949 -1184674.983591596363112,497436.084219628595747 -1161422.28249470423907,477412.924941749195568 -1178861.808317373273894,457389.765663869795389 -1176924.083225965499878,448347.048570633982308 -1163360.007586111780256,458035.674027672386728 -1133648.222851193975657,499373.809311036253348 -1120730.055575142847374))",,100000
"POLYGON ((518105.151861310470849 -1180153.625044978456572,527793.777318348758854 -1216324.493417921476066,518105.151861310354434 -1266059.437430718680844,502603.351130048919003 -1249911.728335654595867,511646.068223284732085 -1231826.294149182969704,496790.175855825829785 -1214386.76832651370205,483226.100215972110163 -1262829.89561170572415,445117.506751621025614 -1288666.230163808213547,385693.937281785474624 -1312564.839624502928928,368254.411459116381593 -1300938.489076056983322,371483.953278129163664 -1261538.078884100774303,403133.463104454625864 -1224075.39378355210647,436074.789658385212533 -1208573.593052290845662,461911.124210487585515 -1189196.342138214036822,501311.534402443910949 -1184674.983591596363112,518105.151861310470849 -1180153.625044978456572))",,90000
